 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
    910000    5.6824996587E-01    2.9989747443E+07    1.7041672961E+07    1.0671907050E-13
    920000    5.6747763115E-01    2.9989040156E+07    1.7018109468E+07    1.0671907050E-13
    930000    5.6671055695E-01    2.9988333218E+07    1.6994705020E+07    1.0671907050E-13
    940000    5.6594865179E-01    2.9987626579E+07    1.6971456833E+07    1.0671907050E-13
    950000    5.6519182653E-01    2.9986920188E+07    1.6948362193E+07    1.0671907050E-13
    960000    5.6443999441E-01    2.9986213996E+07    1.6925418461E+07    1.0671907050E-13
    970000    5.6369307087E-01    2.9985507958E+07    1.6902623062E+07    1.0671907050E-13
    980000    5.6295097351E-01    2.9984802025E+07    1.6879973491E+07    1.0671907050E-13
    990000    5.6221362202E-01    2.9984096155E+07    1.6857467302E+07    1.0671907050E-13
   1000000    5.6148093812E-01    2.9983390303E+07    1.6835102115E+07    1.0671907050E-13
   1010000    5.6075284544E-01    2.9982684428E+07    1.6812875607E+07    1.1739098010E-13
   1020000    5.5995716472E-01    2.9981907896E+07    1.6788584139E+07    1.1739098010E-13
   1030000    5.5916684559E-01    2.9981131225E+07    1.6764454575E+07    1.1739098010E-13
   1040000    5.5838180166E-01    2.9980354368E+07    1.6740484286E+07    1.1739098010E-13
   1050000    5.5760194176E-01    2.9979577271E+07    1.6716670499E+07    1.1739098010E-13
   1060000    5.5682717695E-01    2.9978799881E+07    1.6693010506E+07    1.1739098010E-13
   1070000    5.5605742025E-01    2.9978022149E+07    1.6669501661E+07    1.1739098010E-13
   1080000    5.5529258681E-01    2.9977244028E+07    1.6646141382E+07    1.1739098010E-13
   1090000    5.5453259398E-01    2.9976465469E+07    1.6622927155E+07    1.1739098010E-13
   1100000    5.5377736115E-01    2.9975686431E+07    1.6599856530E+07    1.1739098010E-13
   1110000    5.5302680974E-01    2.9974906869E+07    1.6576927118E+07    1.1739098010E-13
   1120000    5.5228086312E-01    2.9974126744E+07    1.6554136589E+07    1.1739098010E-13
   1130000    5.5153944652E-01    2.9973346016E+07    1.6531482672E+07    1.1739098010E-13
   1140000    5.5080248700E-01    2.9972564650E+07    1.6508963151E+07    1.1739098010E-13
   1150000    5.5006991336E-01    2.9971782610E+07    1.6486575864E+07    1.1739098010E-13
   1160000    5.4934165613E-01    2.9970999863E+07    1.6464318701E+07    1.1739098010E-13
   1170000    5.4861764745E-01    2.9970216377E+07    1.6442189603E+07    1.1739098010E-13
   1180000    5.4789782107E-01    2.9969432122E+07    1.6420186559E+07    1.1739098010E-13
   1190000    5.4718211227E-01    2.9968647070E+07    1.6398307606E+07    1.1739098010E-13
   1200000    5.4647045782E-01    2.9967861194E+07    1.6376550827E+07    1.1739098010E-13
   1210000    5.4576279595E-01    2.9967074469E+07    1.6354914348E+07    1.1739098010E-13
   1220000    5.4505906627E-01    2.9966286870E+07    1.6333396341E+07    1.1739098010E-13
   1230000    5.4435920974E-01    2.9965498377E+07    1.6311995016E+07    1.1739098010E-13
   1240000    5.4366316867E-01    2.9964708967E+07    1.6290708625E+07    1.1739098010E-13
   1250000    5.4297088610E-01    2.9963918642E+07    1.6269535456E+07    1.1739098010E-13
   1260000    5.4228230451E-01    2.9963127482E+07    1.6248473821E+07    1.1739098010E-13
   1270000    5.4159736717E-01    2.9962335584E+07    1.6227522067E+07    1.1739098010E-13
   1280000    5.4091601853E-01    2.9961543051E+07    1.6206678576E+07    1.1739098010E-13
   1290000    5.4023820418E-01    2.9960749988E+07    1.6185941770E+07    1.1739098010E-13
   1300000    5.3956387086E-01    2.9959956503E+07    1.6165310102E+07    1.1739098010E-13
   1310000    5.3889296636E-01    2.9959162707E+07    1.6144782061E+07    1.1739098010E-13
   1320000    5.3822543955E-01    2.9958368713E+07    1.6124356169E+07    1.1739098010E-13
   1330000    5.3756124034E-01    2.9957574636E+07    1.6104030979E+07    1.1739098010E-13
   1340000    5.3690031963E-01    2.9956780597E+07    1.6083805077E+07    1.2913008091E-13
   1350000    5.3617704265E-01    2.9955907348E+07    1.6061669811E+07    1.2913008091E-13
   1360000    5.3545760516E-01    2.9955034445E+07    1.6039651007E+07    1.2913008091E-13
   1370000    5.3474195241E-01    2.9954162065E+07    1.6017747105E+07    1.2913008091E-13
   1380000    5.3403002434E-01    2.9953290378E+07    1.5995956389E+07    1.2913008091E-13
   1390000    5.3332176200E-01    2.9952419561E+07    1.5974277176E+07    1.2913008091E-13
   1400000    5.3261710770E-01    2.9951549794E+07    1.5952707822E+07    1.2913008091E-13
   1410000    5.3191600494E-01    2.9950681261E+07    1.5931246721E+07    1.2913008091E-13
   1420000    5.3121839842E-01    2.9949814146E+07    1.5909892304E+07    1.2913008091E-13
   1430000    5.3052423402E-01    2.9948948637E+07    1.5888643035E+07    1.2913008091E-13
   1440000    5.2983345870E-01    2.9948084924E+07    1.5867497417E+07    1.2913008091E-13
   1450000    5.2914602057E-01    2.9947223197E+07    1.5846453982E+07    1.2913008091E-13
   1460000    5.2846186877E-01    2.9946363650E+07    1.5825511297E+07    1.2913008091E-13
   1470000    5.2778095351E-01    2.9945506478E+07    1.5804667962E+07    1.2913008091E-13
   1480000    5.2710322603E-01    2.9944651876E+07    1.5783922606E+07    1.2913008091E-13
   1490000    5.2642863852E-01    2.9943800042E+07    1.5763273888E+07    1.2913008091E-13
   1500000    5.2575714419E-01    2.9942951174E+07    1.5742720498E+07    1.2913008091E-13
   1510000    5.2508869717E-01    2.9942105473E+07    1.5722261154E+07    1.2913008091E-13
   1520000    5.2442325251E-01    2.9941263139E+07    1.5701894600E+07    1.2913008091E-13
   1530000    5.2376076619E-01    2.9940424373E+07    1.5681619609E+07    1.2913008091E-13
   1540000    5.2310119503E-01    2.9939589376E+07    1.5661434981E+07    1.2913008091E-13
   1550000    5.2244449674E-01    2.9938758352E+07    1.5641339540E+07    1.2913008091E-13
   1560000    5.2179062987E-01    2.9937931503E+07    1.5621332136E+07    1.2913008091E-13
   1570000    5.2113955378E-01    2.9937109032E+07    1.5601411642E+07    1.2913008091E-13
   1580000    5.2049122862E-01    2.9936291142E+07    1.5581576957E+07    1.2913008091E-13
   1590000    5.1984561545E-01    2.9935478031E+07    1.5561827001E+07    1.2913008091E-13
   1600000    5.1920267765E-01    2.9934669780E+07    1.5542160704E+07    1.2913008091E-13
   1610000    5.1856238078E-01    2.9933866364E+07    1.5522577007E+07    1.2913008091E-13
   1620000    5.1792469107E-01    2.9933067752E+07    1.5503074868E+07    1.2913008091E-13
   1630000    5.1728957536E-01    2.9932273914E+07    1.5483653262E+07    1.2913008091E-13
   1640000    5.1665700104E-01    2.9931484817E+07    1.5464311182E+07    1.4204309208E-13
   1650000    5.1596407268E-01    2.9930622256E+07    1.5443125757E+07    1.4204309208E-13
   1660000    5.1527413252E-01    2.9929765339E+07    1.5422033872E+07    1.4204309208E-13
   1670000    5.1458714585E-01    2.9928914029E+07    1.5401034449E+07    1.4204309208E-13
   1680000    5.1390307237E-01    2.9928068279E+07    1.5380126239E+07    1.4204309208E-13
   1690000    5.1322187257E-01    2.9927228040E+07    1.5359308016E+07    1.4204309208E-13
   1700000    5.1254350763E-01    2.9926393264E+07    1.5338578574E+07    1.4204309208E-13
   1710000    5.1186793948E-01    2.9925563900E+07    1.5317936732E+07    1.4204309208E-13
   1720000    5.1119513073E-01    2.9924739897E+07    1.5297381324E+07    1.4204309208E-13
   1730000    5.1052504465E-01    2.9923921203E+07    1.5276911208E+07    1.4204309208E-13
   1740000    5.0985764519E-01    2.9923107765E+07    1.5256525262E+07    1.4204309208E-13
   1750000    5.0919289693E-01    2.9922299529E+07    1.5236222380E+07    1.4204309208E-13
   1760000    5.0853076508E-01    2.9921496440E+07    1.5216001477E+07    1.4204309208E-13
   1770000    5.0787121547E-01    2.9920698444E+07    1.5195861486E+07    1.4204309208E-13
   1780000    5.0721421451E-01    2.9919905483E+07    1.5175801358E+07    1.4204309208E-13
   1790000    5.0655972920E-01    2.9919117501E+07    1.5155820059E+07    1.4204309208E-13
   1800000    5.0590772711E-01    2.9918334440E+07    1.5135916576E+07    1.4204309208E-13
   1810000    5.0525817637E-01    2.9917556243E+07    1.5116089909E+07    1.4204309208E-13
   1820000    5.0461104564E-01    2.9916782850E+07    1.5096339076E+07    1.4204309208E-13
   1830000    5.0396630412E-01    2.9916014202E+07    1.5076663111E+07    1.4204309208E-13
   1840000    5.0332392152E-01    2.9915250239E+07    1.5057061064E+07    1.4204309208E-13
